"","entidad","muns.censo.sa"
"1","Aguascalientes","aguascalientes"
"2","Aguascalientes","asientos"
"3","Aguascalientes","calvillo"
"4","Aguascalientes","cosio"
"5","Aguascalientes","el llano"
"6","Aguascalientes","jesus maria"
"7","Aguascalientes","pabellon de arteaga"
"8","Aguascalientes","rincon de romos"
"9","Aguascalientes","san francisco de los romo"
"10","Aguascalientes","san jose de gracia"
"11","Aguascalientes","tepezala"
"12","Baja California","ensenada"
"13","Baja California","mexicali"
"14","Baja California","playas de rosarito"
"15","Baja California","tecate"
"16","Baja California","tijuana"
"17","Baja California Sur","comondu"
"18","Baja California Sur","la paz"
"19","Baja California Sur","loreto"
"20","Baja California Sur","los cabos"
"21","Baja California Sur","mulege"
"22","Campeche","calakmul"
"23","Campeche","calkini"
"24","Campeche","campeche"
"25","Campeche","candelaria"
"26","Campeche","carmen"
"27","Campeche","champoton"
"28","Campeche","escarcega"
"29","Campeche","hecelchakan"
"30","Campeche","hopelchen"
"31","Campeche","palizada"
"32","Campeche","tenabo"
"33","Chiapas","acacoyagua"
"34","Chiapas","acala"
"35","Chiapas","acapetahua"
"36","Chiapas","aldama"
"37","Chiapas","altamirano"
"38","Chiapas","amatan"
"39","Chiapas","amatenango de la frontera"
"40","Chiapas","amatenango del valle"
"41","Chiapas","angel albino corzo"
"42","Chiapas","arriaga"
"43","Chiapas","bejucal de ocampo"
"44","Chiapas","bella vista"
"45","Chiapas","benemerito de las americas"
"46","Chiapas","berriozabal"
"47","Chiapas","bochil"
"48","Chiapas","cacahoatan"
"49","Chiapas","catazaja"
"50","Chiapas","chalchihuitan"
"51","Chiapas","chamula"
"52","Chiapas","chanal"
"53","Chiapas","chapultenango"
"54","Chiapas","chenalho"
"55","Chiapas","chiapa de corzo"
"56","Chiapas","chiapilla"
"57","Chiapas","chicoasen"
"58","Chiapas","chicomuselo"
"59","Chiapas","chilon"
"60","Chiapas","cintalapa"
"61","Chiapas","coapilla"
"62","Chiapas","comitan de dominguez"
"63","Chiapas","copainala"
"64","Chiapas","el bosque"
"65","Chiapas","el porvenir"
"66","Chiapas","escuintla"
"67","Chiapas","francisco leon"
"68","Chiapas","frontera comalapa"
"69","Chiapas","frontera hidalgo"
"70","Chiapas","huehuetan"
"71","Chiapas","huitiupan"
"72","Chiapas","huixtan"
"73","Chiapas","huixtla"
"74","Chiapas","ixhuatan"
"75","Chiapas","ixtacomitan"
"76","Chiapas","ixtapa"
"77","Chiapas","ixtapangajoya"
"78","Chiapas","jiquipilas"
"79","Chiapas","jitotol"
"80","Chiapas","juarez"
"81","Chiapas","la concordia"
"82","Chiapas","la grandeza"
"83","Chiapas","la independencia"
"84","Chiapas","la libertad"
"85","Chiapas","la trinitaria"
"86","Chiapas","larrainzar"
"87","Chiapas","las margaritas"
"88","Chiapas","las rosas"
"89","Chiapas","mapastepec"
"90","Chiapas","maravilla tenejapa"
"91","Chiapas","marques de comillas"
"92","Chiapas","mazapa de madero"
"93","Chiapas","mazatan"
"94","Chiapas","metapa"
"95","Chiapas","mitontic"
"96","Chiapas","montecristo de guerrero"
"97","Chiapas","motozintla"
"98","Chiapas","nicolas ruiz"
"99","Chiapas","ocosingo"
"100","Chiapas","ocotepec"
"101","Chiapas","ocozocoautla de espinosa"
"102","Chiapas","ostuacan"
"103","Chiapas","osumacinta"
"104","Chiapas","oxchuc"
"105","Chiapas","palenque"
"106","Chiapas","pantelho"
"107","Chiapas","pantepec"
